,italian_ascii,italian_latin1,italian_uft16,german_ascii,german_latin1,german_uft16,spanish_ascii,spanish_latin1,spanish_uft16,polish_ascii,polish_latin1,polish_uft16,turkish_ascii,turkish_latin1,turkish_uft16,vietnamese_ascii,vietnamese_latin1,vietnamese_uft16,portuguese_ascii,portuguese_latin1,portuguese_uft16,dutch_ascii,dutch_latin1,dutch_uft16,french_ascii,french_latin1,french_uft16,english_ascii,english_latin1,english_uft16
0,6605.0,67.0,91.0,13828.0,387.0,55.0,451.0,275.0,60.0,293.0,23.0,282.0,320.0,43.0,251.0,,,,5079.0,264.0,52.0,2700.0,28.0,8.0,2351.0,220.0,140.0,527.0,0.0,7.0
1,8761.0,219.0,47.0,4881.0,211.0,65.0,2113.0,504.0,0.0,341.0,35.0,213.0,21101.0,2483.0,9736.0,5145.0,27.0,616.0,261.0,10.0,0.0,589.0,12.0,80.0,1264.0,422.0,108.0,104.0,0.0,1.0
2,1048.0,110.0,113.0,1146.0,225.0,64.0,1564.0,278.0,2.0,5939.0,73.0,711.0,309.0,61.0,293.0,6174.0,6.0,692.0,2332.0,88.0,1.0,344.0,21.0,6.0,316.0,470.0,108.0,647.0,20.0,109.0
3,3544.0,33.0,46.0,923.0,202.0,109.0,2972.0,439.0,5.0,5437.0,28.0,461.0,618.0,78.0,345.0,420.0,52.0,487.0,490.0,312.0,88.0,6138.0,55.0,64.0,8591.0,529.0,81.0,811.0,6.0,64.0
4,5844.0,40.0,109.0,3849.0,95.0,37.0,7495.0,315.0,19.0,12765.0,91.0,291.0,2708.0,86.0,223.0,1678.0,20.0,242.0,4364.0,340.0,21.0,4595.0,51.0,83.0,2364.0,13.0,14.0,617.0,8.0,52.0
5,1222.0,80.0,18.0,1347.0,234.0,95.0,427.0,189.0,7.0,627.0,10.0,276.0,2643.0,54.0,194.0,2879.0,22.0,197.0,15181.0,1104.0,80.0,4966.0,43.0,72.0,414.0,246.0,54.0,,,
6,5904.0,114.0,43.0,10631.0,463.0,10.0,9241.0,463.0,25.0,359.0,21.0,230.0,217.0,23.0,157.0,2845.0,12.0,311.0,3418.0,103.0,1.0,3391.0,22.0,52.0,6.0,0.0,0.0,42.0,0.0,0.0
7,2482.0,34.0,13.0,9871.0,560.0,90.0,4410.0,187.0,31.0,4199.0,11.0,273.0,1600.0,18.0,117.0,1066.0,3.0,188.0,1340.0,152.0,0.0,570.0,17.0,18.0,276.0,393.0,31.0,6615.0,2.0,30.0
8,6035.0,135.0,27.0,5810.0,174.0,26.0,691.0,262.0,5.0,3604.0,11.0,214.0,4099.0,78.0,397.0,2428.0,6.0,405.0,702.0,504.0,21.0,3846.0,23.0,61.0,470.0,273.0,9.0,456.0,3.0,68.0
9,4845.0,107.0,95.0,529.0,148.0,60.0,1180.0,286.0,13.0,1931.0,16.0,95.0,1602.0,19.0,148.0,1931.0,33.0,296.0,5311.0,215.0,47.0,1450.0,12.0,31.0,5295.0,346.0,118.0,415.0,1.0,63.0
